subject,predicate,object
http://dbpedia.org/resource/Pre-Greek_substrate,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hermes
Gnosticism,P67,Alexander the Great
http://dbpedia.org/resource/Macedonia_(Greece),http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/Greece
Anubis,P67,Ancient Greek
http://dbpedia.org/resource/Senate_(Egypt),http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Cairo
http://dbpedia.org/resource/Bastet,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hermes
Formal writing system used by the ancient Egyptians,P196,https://en.wikipedia.org/wiki/Egyptian_hieroglyphs
http://dbpedia.org/resource/Modern_Greek,http://dbpedia.org/property/ancestor,http://dbpedia.org/resource/Proto-Greek_language
http://dbpedia.org/resource/Ptolemaic_dynasty,http://dbpedia.org/property/finalRuler,http://dbpedia.org/resource/Ptolemy_of_Mauretania
http://dbpedia.org/resource/Mut,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Goddess
http://dbpedia.org/resource/Origen,http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/Egypt_(Roman_province)
http://dbpedia.org/resource/Polytheism,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/Interpretatio_graeca
http://dbpedia.org/resource/Roman_Egypt,http://dbpedia.org/property/capital,http://dbpedia.org/resource/Alexandria
Greek philosopher and historian (c. AD 46 – after AD 119),P67,https://en.wikipedia.org/wiki/Plutarch
http://dbpedia.org/resource/Abdel_Fattah_el-Sisi,http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/Cairo
Dynasty of ancient Egypt,P196,https://en.wikipedia.org/wiki/First_Dynasty_of_Egypt
Ancient Egyptian pharaoh of the First Dynasty,P196,https://en.wikipedia.org/wiki/Djer
http://dbpedia.org/resource/Aristotle,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
Djer,P67,https://en.wikipedia.org/wiki/Djer
http://dbpedia.org/resource/Ancient_Egyptian_royal_titulary,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Semerkhet
Ancient Egyptian funerary practices,P67,Alexander the Great
Plutarch,P67,Alexander the Great
http://dbpedia.org/resource/Early_Islamic_philosophy,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/Medieval_Islam
Egyptian and Berber deity,P67,https://en.wikipedia.org/wiki/Amun
Ramesses II,P67,https://en.wikipedia.org/wiki/Ramesses_II
http://dbpedia.org/resource/Civilization,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/Human_history
http://en.wikipedia.org/wiki/Roman_Egypt,http://xmlns.com/foaf/0.1/primaryTopic,http://dbpedia.org/resource/Roman_Egypt
Alexander the Great,P67,https://en.wikipedia.org/wiki/Alexander_the_Great
Greeks,P67,https://en.wikipedia.org/wiki/Greeks
Buchis,P104,"Mythical bull in Egyptian mythology, incarnation of Montou's ka"
http://en.wikipedia.org/wiki/Deity,http://xmlns.com/foaf/0.1/primaryTopic,http://dbpedia.org/resource/Deity
http://dbpedia.org/resource/Ra,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mut
Ancient Greek,P104,Forms of Greek used from around the 9th century BCE to the 6th century CE
http://dbpedia.org/resource/Lucian,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Egypt_(Roman_province)
Ancient Greek,P67,Alexander the Great
http://dbpedia.org/resource/List_of_pharaohs,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Djet
Amenemhat I,P67,https://en.wikipedia.org/wiki/Amenemhat_I
http://dbpedia.org/resource/Montenegrin_alphabet,http://dbpedia.org/property/fam,http://dbpedia.org/resource/Egyptian_hieroglyphs
http://dbpedia.org/resource/Gaza_City,http://dbpedia.org/property/translitLang1Type,http://dbpedia.org/resource/Latin_script
http://dbpedia.org/resource/Darius_III,http://dbpedia.org/property/dynasty,http://dbpedia.org/resource/Achaemenid_dynasty
http://dbpedia.org/resource/Cairo,http://dbpedia.org/property/subdivisionName,http://dbpedia.org/resource/Egypt
http://dbpedia.org/resource/Coptic_alphabet,http://dbpedia.org/property/fam,http://dbpedia.org/resource/Egyptian_hieroglyphs
Apis (deity),P67,https://en.wikipedia.org/wiki/Apis_(deity)
http://dbpedia.org/resource/Mount_Olympus,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/Greek_language,http://dbpedia.org/property/ld,http://dbpedia.org/resource/Ancient_Greek
http://dbpedia.org/resource/Alexander_IV_of_Macedon,http://dbpedia.org/property/successor,http://dbpedia.org/resource/Cassander
http://dbpedia.org/resource/Miletus,http://dbpedia.org/property/location,http://dbpedia.org/resource/Turkey
"Olympian god in Greek religion and mythology; the emissary and messenger of the gods; the god of trade, heraldry, merchants, commerce, roads, thieves, trickery, sports, travelers, and athletes; the son of Zeus and the Pleiad Maia",P67,https://en.wikipedia.org/wiki/Hermes
Anubis,P67,Osiris
Ramesses II,P104,Egyptian third pharaoh of the Nineteenth Dynasty
http://dbpedia.org/resource/Egypt,http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/resource/Modern_Standard_Arabic
http://dbpedia.org/resource/Horus,http://dbpedia.org/property/consort,http://dbpedia.org/resource/Nephthys
http://dbpedia.org/resource/Greek_language,http://dbpedia.org/property/states,http://dbpedia.org/resource/Cyprus
http://dbpedia.org/resource/Anubis,http://dbpedia.org/property/siblings,http://dbpedia.org/resource/Wepwawet
Anubis,P67,Ramesses II
